biggest n = 9, steps = 19
biggest n = 19, steps = 20
biggest n = 39, steps = 34
biggest n = 79, steps = 35
biggest n = 109, steps = 113
biggest n = 129, steps = 121
biggest n = 259, steps = 122
biggest n = 459, steps = 128
biggest n = 609, steps = 131
biggest n = 619, steps = 131
biggest n = 639, steps = 131
biggest n = 649, steps = 144
biggest n = 859, steps = 147
biggest n = 879, steps = 147
biggest n = 889, steps = 147
biggest n = 1249, steps = 176
biggest n = 2499, steps = 177
biggest n = 2539, steps = 177
biggest n = 2919, steps = 216
biggest n = 5839, steps = 217
biggest n = 6919, steps = 225
biggest n = 8959, steps = 246
biggest n = 12399, steps = 262
biggest n = 15039, steps = 270
biggest n = 23529, steps = 281
biggest n = 31419, steps = 284
biggest n = 34239, steps = 310
biggest n = 47329, steps = 313
biggest n = 60169, steps = 316
biggest n = 61999, steps = 316
biggest n = 81159, steps = 319
biggest n = 88059, steps = 332
biggest n = 106239, steps = 353
biggest n = 146599, steps = 356
biggest n = 156159, steps = 382
biggest n = 288489, steps = 388
biggest n = 423679, steps = 417
biggest n = 735679, steps = 423
biggest n = 837799, steps = 524
biggest n = 1675599, steps = 525
biggest n = 1723519, steps = 556
biggest n = 3447039, steps = 557
biggest n = 4571689, steps = 560
biggest n = 4637979, steps = 573
biggest n = 4723849, steps = 586
biggest n = 5649499, steps = 612
biggest n = 6649279, steps = 664
biggest n = 13298559, steps = 665
biggest n = 26597119, steps = 666
biggest n = 28020009, steps = 679
biggest n = 37360009, steps = 682
biggest n = 47199579, steps = 703
biggest n = 94399149, steps = 704
biggest n = 94399159, steps = 704
biggest n = 99449319, steps = 717
biggest n = 105707199, steps = 779
biggest n = 163284639, steps = 785
biggest n = 165276159, steps = 803
biggest n = 172236769, steps = 816
biggest n = 254912509, steps = 951
biggest n = 302118529, steps = 959
