biggest n = 5, steps = 5
biggest n = 15, steps = 17
biggest n = 25, steps = 23
biggest n = 55, steps = 112
biggest n = 145, steps = 116
biggest n = 195, steps = 119
biggest n = 235, steps = 127
biggest n = 415, steps = 133
biggest n = 655, steps = 144
biggest n = 775, steps = 152
biggest n = 1055, steps = 168
biggest n = 1665, steps = 179
biggest n = 1695, steps = 179
biggest n = 3175, steps = 198
biggest n = 3695, steps = 206
biggest n = 7515, steps = 207
biggest n = 7785, steps = 220
biggest n = 9225, steps = 228
biggest n = 10415, steps = 254
biggest n = 13255, steps = 275
biggest n = 35295, steps = 279
biggest n = 35655, steps = 323
biggest n = 60975, steps = 334
biggest n = 105055, steps = 340
biggest n = 150015, steps = 369
biggest n = 277615, steps = 388
biggest n = 288615, steps = 388
biggest n = 370155, steps = 391
biggest n = 394655, steps = 404
biggest n = 511935, steps = 469
biggest n = 1056935, steps = 501
biggest n = 1117065, steps = 527
biggest n = 1126015, steps = 527
biggest n = 1993215, steps = 533
biggest n = 2298025, steps = 559
biggest n = 5598635, steps = 594
biggest n = 6674175, steps = 620
biggest n = 8865705, steps = 667
biggest n = 15761255, steps = 673
biggest n = 20638335, steps = 694
biggest n = 36791535, steps = 744
biggest n = 86010015, steps = 797
biggest n = 127456255, steps = 950
biggest n = 339883345, steps = 954
biggest n = 402824705, steps = 962
