biggest n = 10, steps = 6
biggest n = 20, steps = 7
biggest n = 30, steps = 18
biggest n = 50, steps = 24
biggest n = 100, steps = 25
biggest n = 110, steps = 113
biggest n = 220, steps = 114
biggest n = 290, steps = 117
biggest n = 390, steps = 120
biggest n = 470, steps = 128
biggest n = 830, steps = 134
biggest n = 1310, steps = 145
biggest n = 1550, steps = 153
biggest n = 2110, steps = 169
biggest n = 3330, steps = 180
biggest n = 3390, steps = 180
biggest n = 6350, steps = 199
biggest n = 7390, steps = 207
biggest n = 14780, steps = 208
biggest n = 15030, steps = 208
biggest n = 15570, steps = 221
biggest n = 18450, steps = 229
biggest n = 20830, steps = 255
biggest n = 26510, steps = 276
biggest n = 53020, steps = 277
biggest n = 70590, steps = 280
biggest n = 71310, steps = 324
biggest n = 121950, steps = 335
biggest n = 210110, steps = 341
biggest n = 300030, steps = 370
biggest n = 555230, steps = 389
biggest n = 577230, steps = 389
biggest n = 740310, steps = 392
biggest n = 789310, steps = 405
biggest n = 1023870, steps = 470
biggest n = 2047740, steps = 471
biggest n = 2113870, steps = 502
biggest n = 2234130, steps = 528
biggest n = 2252030, steps = 528
biggest n = 3986430, steps = 534
biggest n = 4596050, steps = 560
biggest n = 9192100, steps = 561
biggest n = 11197270, steps = 595
biggest n = 13348350, steps = 621
biggest n = 17731410, steps = 668
biggest n = 31522510, steps = 674
biggest n = 41276670, steps = 695
biggest n = 73583070, steps = 745
biggest n = 147166140, steps = 746
biggest n = 172020030, steps = 798
biggest n = 254912510, steps = 951
biggest n = 509825020, steps = 952
