biggest n = 3, steps = 7
biggest n = 13, steps = 9
biggest n = 23, steps = 15
biggest n = 33, steps = 26
biggest n = 43, steps = 29
biggest n = 63, steps = 107
biggest n = 73, steps = 115
biggest n = 193, steps = 119
biggest n = 313, steps = 130
biggest n = 543, steps = 136
biggest n = 553, steps = 136
biggest n = 703, steps = 170
biggest n = 1263, steps = 176
biggest n = 1743, steps = 179
biggest n = 2223, steps = 182
biggest n = 2323, steps = 182
biggest n = 2463, steps = 208
biggest n = 6943, steps = 256
biggest n = 12343, steps = 262
biggest n = 12583, steps = 262
biggest n = 17673, steps = 278
biggest n = 26623, steps = 307
biggest n = 53483, steps = 321
biggest n = 74793, steps = 324
biggest n = 91463, steps = 332
biggest n = 140073, steps = 343
biggest n = 154063, steps = 351
biggest n = 180463, steps = 364
biggest n = 225023, steps = 367
biggest n = 263103, steps = 406
biggest n = 376603, steps = 422
biggest n = 461263, steps = 443
biggest n = 704623, steps = 503
biggest n = 1252663, steps = 509
biggest n = 1501353, steps = 530
biggest n = 1564063, steps = 530
biggest n = 2989823, steps = 531
biggest n = 3064033, steps = 562
biggest n = 3732423, steps = 596
biggest n = 10011263, steps = 618
biggest n = 10043553, steps = 618
biggest n = 10507503, steps = 675
biggest n = 16801023, steps = 686
biggest n = 22401363, steps = 689
biggest n = 29868483, steps = 692
biggest n = 30957503, steps = 692
biggest n = 31466383, steps = 705
biggest n = 41464303, steps = 708
biggest n = 41955183, steps = 708
biggest n = 55187303, steps = 742
biggest n = 96883183, steps = 810
biggest n = 156977263, steps = 896
biggest n = 169941673, steps = 953
biggest n = 268549803, steps = 964
