biggest n = 6, steps = 8
biggest n = 26, steps = 10
biggest n = 36, steps = 21
biggest n = 66, steps = 27
biggest n = 86, steps = 30
biggest n = 126, steps = 108
biggest n = 146, steps = 116
biggest n = 386, steps = 120
biggest n = 516, steps = 123
biggest n = 626, steps = 131
biggest n = 1086, steps = 137
biggest n = 1106, steps = 137
biggest n = 1406, steps = 171
biggest n = 2526, steps = 177
biggest n = 3486, steps = 180
biggest n = 4446, steps = 183
biggest n = 4646, steps = 183
biggest n = 4926, steps = 209
biggest n = 11676, steps = 218
biggest n = 13886, steps = 257
biggest n = 24686, steps = 263
biggest n = 25166, steps = 263
biggest n = 35346, steps = 279
biggest n = 53246, steps = 308
biggest n = 106966, steps = 322
biggest n = 149586, steps = 325
biggest n = 182926, steps = 333
biggest n = 280146, steps = 344
biggest n = 308126, steps = 352
biggest n = 360926, steps = 365
biggest n = 450046, steps = 368
biggest n = 526206, steps = 407
biggest n = 753206, steps = 423
biggest n = 922526, steps = 444
biggest n = 1409246, steps = 504
biggest n = 2505326, steps = 510
biggest n = 3002706, steps = 531
biggest n = 3128126, steps = 531
biggest n = 5979646, steps = 532
biggest n = 6128066, steps = 563
biggest n = 7464846, steps = 597
biggest n = 20022526, steps = 619
biggest n = 20087106, steps = 619
biggest n = 21015006, steps = 676
biggest n = 33602046, steps = 687
biggest n = 44802726, steps = 690
biggest n = 59736966, steps = 693
biggest n = 61915006, steps = 693
biggest n = 62932766, steps = 706
biggest n = 82928606, steps = 709
biggest n = 83910366, steps = 709
biggest n = 110374606, steps = 743
biggest n = 193766366, steps = 811
biggest n = 313954526, steps = 897
biggest n = 339883346, steps = 954
biggest n = 537099606, steps = 965
