biggest n = 11, steps = 14
biggest n = 31, steps = 106
biggest n = 41, steps = 109
biggest n = 171, steps = 124
biggest n = 231, steps = 127
biggest n = 411, steps = 133
biggest n = 491, steps = 141
biggest n = 871, steps = 178
biggest n = 1161, steps = 181
biggest n = 2631, steps = 190
biggest n = 3711, steps = 237
biggest n = 6171, steps = 261
biggest n = 10971, steps = 267
biggest n = 26471, steps = 276
biggest n = 26511, steps = 276
biggest n = 47531, steps = 282
biggest n = 60231, steps = 285
biggest n = 67691, steps = 311
biggest n = 71311, steps = 324
biggest n = 74791, steps = 324
biggest n = 77031, steps = 350
biggest n = 160411, steps = 369
biggest n = 213881, steps = 372
biggest n = 230631, steps = 442
biggest n = 410011, steps = 448
biggest n = 546681, steps = 451
biggest n = 626331, steps = 508
biggest n = 1590511, steps = 512
biggest n = 2120681, steps = 515
biggest n = 2234131, steps = 528
biggest n = 2252031, steps = 528
biggest n = 2346091, steps = 528
biggest n = 2929311, steps = 549
biggest n = 4596051, steps = 560
biggest n = 5314331, steps = 581
biggest n = 8400511, steps = 685
biggest n = 11200681, steps = 688
biggest n = 14934241, steps = 691
biggest n = 15733191, steps = 704
biggest n = 69846431, steps = 732
biggest n = 73583071, steps = 745
biggest n = 95592191, steps = 947
