biggest n = 7, steps = 16
biggest n = 27, steps = 111
biggest n = 97, steps = 118
biggest n = 257, steps = 122
biggest n = 327, steps = 143
biggest n = 667, steps = 144
biggest n = 937, steps = 173
biggest n = 1307, steps = 176
biggest n = 2527, steps = 177
biggest n = 3097, steps = 185
biggest n = 3567, steps = 193
biggest n = 4927, steps = 209
biggest n = 5567, steps = 235
biggest n = 9257, steps = 259
biggest n = 16457, steps = 265
biggest n = 16777, steps = 265
biggest n = 17647, steps = 278
biggest n = 31687, steps = 284
biggest n = 35497, steps = 310
biggest n = 45127, steps = 313
biggest n = 52527, steps = 339
biggest n = 100167, steps = 340
biggest n = 115547, steps = 348
biggest n = 142587, steps = 374
biggest n = 216367, steps = 385
biggest n = 345947, steps = 440
biggest n = 615017, steps = 446
biggest n = 910107, steps = 475
biggest n = 939497, steps = 506
biggest n = 1413787, steps = 517
biggest n = 2085417, steps = 533
biggest n = 3066367, steps = 544
biggest n = 3428767, steps = 557
biggest n = 3542887, steps = 583
biggest n = 6355687, steps = 607
biggest n = 12600767, steps = 683
biggest n = 23599787, steps = 702
biggest n = 41955177, steps = 708
biggest n = 46564287, steps = 734
biggest n = 63101607, steps = 737
biggest n = 63728127, steps = 949
biggest n = 226588897, steps = 956
