biggest n = 2, steps = 1
biggest n = 12, steps = 9
biggest n = 22, steps = 15
biggest n = 62, steps = 107
biggest n = 82, steps = 110
biggest n = 292, steps = 117
biggest n = 342, steps = 125
biggest n = 462, steps = 128
biggest n = 822, steps = 134
biggest n = 982, steps = 142
biggest n = 1742, steps = 179
biggest n = 2322, steps = 182
biggest n = 5262, steps = 191
biggest n = 7422, steps = 238
biggest n = 12342, steps = 262
biggest n = 21942, steps = 268
biggest n = 52942, steps = 277
biggest n = 53022, steps = 277
biggest n = 70692, steps = 280
biggest n = 95062, steps = 283
biggest n = 106492, steps = 309
biggest n = 135382, steps = 312
biggest n = 142622, steps = 325
biggest n = 149582, steps = 325
biggest n = 154062, steps = 351
biggest n = 320822, steps = 370
biggest n = 427762, steps = 373
biggest n = 461262, steps = 443
biggest n = 820022, steps = 449
biggest n = 1093362, steps = 452
biggest n = 1252662, steps = 509
biggest n = 3181022, steps = 513
biggest n = 4241362, steps = 516
biggest n = 4468262, steps = 529
biggest n = 4504062, steps = 529
biggest n = 4692182, steps = 529
biggest n = 5858622, steps = 550
biggest n = 9192102, steps = 561
biggest n = 10628662, steps = 582
biggest n = 14929692, steps = 598
biggest n = 16801022, steps = 686
biggest n = 22401362, steps = 689
biggest n = 29868482, steps = 692
biggest n = 31466382, steps = 705
biggest n = 125865532, steps = 707
biggest n = 139692862, steps = 733
biggest n = 147166142, steps = 746
biggest n = 191184382, steps = 948
