biggest n = 4, steps = 2
biggest n = 14, steps = 17
biggest n = 54, steps = 112
biggest n = 194, steps = 119
biggest n = 514, steps = 123
biggest n = 654, steps = 144
biggest n = 1334, steps = 145
biggest n = 1874, steps = 174
biggest n = 2614, steps = 177
biggest n = 3484, steps = 180
biggest n = 4644, steps = 183
biggest n = 6194, steps = 186
biggest n = 7134, steps = 194
biggest n = 9854, steps = 210
biggest n = 11134, steps = 236
biggest n = 14844, steps = 239
biggest n = 18514, steps = 260
biggest n = 24684, steps = 263
biggest n = 32914, steps = 266
biggest n = 33554, steps = 266
biggest n = 35294, steps = 279
biggest n = 63374, steps = 285
biggest n = 70994, steps = 311
biggest n = 90254, steps = 314
biggest n = 105054, steps = 340
biggest n = 200334, steps = 341
biggest n = 231094, steps = 349
biggest n = 285174, steps = 375
biggest n = 432734, steps = 386
biggest n = 691894, steps = 441
biggest n = 922524, steps = 444
biggest n = 1230034, steps = 447
biggest n = 1640044, steps = 450
biggest n = 1820214, steps = 476
biggest n = 1878994, steps = 507
biggest n = 2505324, steps = 510
biggest n = 2827574, steps = 518
biggest n = 4170834, steps = 534
biggest n = 6132734, steps = 545
biggest n = 6857534, steps = 558
biggest n = 7085774, steps = 584
biggest n = 12711374, steps = 608
biggest n = 25201534, steps = 684
biggest n = 33602044, steps = 687
biggest n = 44802724, steps = 690
biggest n = 47199574, steps = 703
biggest n = 62932764, steps = 706
biggest n = 83910354, steps = 709
biggest n = 93128574, steps = 735
biggest n = 126203214, steps = 738
biggest n = 127456254, steps = 950
biggest n = 453177794, steps = 957
